L = 80
T           <E>         <|M|>       Cv          ChiAbs      
2              -1.7481        0.913052       0.730765       0.326904       
2.005          -1.74149       0.909119       0.865804       0.48244        
2.01           -1.74          0.908449       0.795831       0.47227        
2.015          -1.73266       0.905897       0.834718       0.419476       
2.02           -1.73183       0.904968       0.849893       0.437393       
2.025          -1.727         0.90259        0.929736       0.512067       
2.03           -1.72126       0.900486       0.88149        0.505261       
2.035          -1.717         0.897278       0.925634       0.582846       
2.04           -1.71669       0.89831        0.940169       0.516456       
2.045          -1.71391       0.897796       0.952193       0.513933       
2.05           -1.70883       0.893976       0.924104       0.539372       
2.055          -1.70253       0.891247       0.974886       0.59803        
2.06           -1.69783       0.888153       0.990395       0.719894       
2.065          -1.69267       0.885289       1.06023        0.736439       
2.07           -1.68747       0.882662       0.898304       0.597106       
2.075          -1.68872       0.88479        0.989556       0.679452       
2.08           -1.68043       0.877882       0.953135       0.715855       
2.085          -1.67836       0.879382       1.10785        0.862412       
2.09           -1.67072       0.875118       1.02831        0.685531       
2.095          -1.66703       0.870695       1.1199         1.34696        
2.1            -1.65899       0.865401       1.15323        1.00203        
2.105          -1.66233       0.87031        1.16321        0.95168        
2.11           -1.65208       0.864646       1.0412         0.806335       
2.115          -1.65039       0.860307       1.28725        1.51322        
2.12           -1.64245       0.859299       1.04305        0.817387       
2.125          -1.63342       0.848276       1.23762        1.73117        
2.13           -1.63667       0.85696        1.07262        0.854778       
2.135          -1.63173       0.852658       1.2021         1.15194        
2.14           -1.62386       0.846538       1.22346        1.23927        
2.145          -1.61591       0.840329       1.42617        1.88607        
2.15           -1.61612       0.844          1.35032        1.29086        
2.155          -1.60862       0.837645       1.42476        1.73267        
2.16           -1.60297       0.833296       1.40748        1.83856        
2.165          -1.59063       0.821615       1.47337        2.06085        
2.17           -1.59171       0.823998       1.42048        2.02024        
2.175          -1.57893       0.793694       1.69018        12.1124        
2.18           -1.56816       0.799306       1.41602        2.67795        
2.185          -1.57017       0.811548       1.4925         1.74529        
2.19           -1.56584       0.806082       1.88354        4.13431        
2.195          -1.5593        0.80344        1.50408        2.79409        
2.2            -1.55261       0.798305       1.68179        2.73959        
2.205          -1.54511       0.791351       1.50632        2.43152        
2.21           -1.5429        0.789504       1.56447        2.93858        
2.215          -1.53456       0.782159       1.51454        3.74649        
2.22           -1.51217       0.732147       2.1336         9.5084         
2.225          -1.51834       0.770379       1.65566        3.28048        
2.23           -1.49814       0.720148       2.36569        13.5486        
2.235          -1.50056       0.732975       1.73324        8.06524        
2.24           -1.49784       0.745888       1.66197        3.97516        
2.245          -1.46521       0.689026       2.69249        15.0402        
2.25           -1.47537       0.717798       1.84203        5.51165        
2.255          -1.45382       0.683754       2.31106        7.15309        
2.26           -1.44516       0.649467       2.05585        15.4352        
2.265          -1.42913       0.592868       3.73431        53.5571        
2.27           -1.4325        0.659625       2.29155        9.25           
2.275          -1.40975       0.572268       2.24072        14.9173        
2.28           -1.42215       0.643432       2.75068        22.1116        
2.285          -1.37071       0.373207       3.91518        134.357        
2.29           -1.39626       0.579108       2.3207         17.1179        
2.295          -1.37921       0.493403       2.64451        33.2255        
2.3            -1.35776       0.483533       4.20803        108.942        
2.305          -1.37244       0.552688       2.46518        20.9381        
2.31           -1.36672       0.520267       2.4847         39.1507        
2.315          -1.34145       0.410699       2.58339        37.2325        
2.32           -1.35922       0.541934       2.98538        65.7126        
2.325          -1.32765       0.465968       3.27557        29.753         
2.33           -1.32628       0.495939       3.10697        33.8094        
2.335          -1.32281       0.484584       2.75016        40.2767        
2.34           -1.30458       0.380755       3.79499        90.1534        
2.345          -1.30717       0.425322       3.30953        66.854         
2.35           -1.29149       0.293277       3.34505        102.437        
2.355          -1.28245       0.295408       3.09017        99.2539        
2.36           -1.27308       0.273181       3.94078        103.09         
2.365          -1.26349       0.31681        3.21516        74.0903        
2.37           -1.25415       0.195669       2.80844        90.0772        
2.375          -1.25331       0.247196       2.8551         87.779         
2.38           -1.24683       0.262269       2.93642        84.3628        
2.385          -1.25051       0.380136       3.07621        44.5009        
2.39           -1.22072       0.159431       2.95293        60.9127        
2.395          -1.21946       0.225193       2.70548        49.6619        
2.4            -1.21713       0.208216       2.59503        53.3771        
2.405          -1.20338       0.217846       2.65913        33.8294        
2.41           -1.19959       0.18473        3.24394        70.8853        
2.415          -1.19583       0.137238       2.94739        61.2771        
2.42           -1.19655       0.199709       2.81221        62.1113        
2.425          -1.18732       0.211217       2.80871        43.2897        
2.43           -1.18256       0.164602       2.88377        74.2963        
2.435          -1.17927       0.154113       2.83976        53.8547        
2.44           -1.1756        0.123911       2.48242        54.5073        
2.445          -1.15915       0.160326       3.06982        61.7658        
2.45           -1.16405       0.160792       2.55018        51.1919        
2.455          -1.15524       0.104775       2.92651        48.4601        
2.46           -1.14208       0.132927       2.63672        48.391         
2.465          -1.14412       0.132141       2.72569        47.9542        
2.47           -1.13789       0.105029       2.3877         32.128         
2.475          -1.13604       0.109215       2.76394        40.7357        
2.48           -1.13405       0.123267       2.68681        44.3418        
2.485          -1.12941       0.124311       2.44319        37.9808        
2.49           -1.12169       0.11425        2.54008        46.9204        
2.495          -1.11092       0.0996748      2.39159        30.2394        
2.5            -1.11512       0.0915769      2.44129        37.7562        
2.505          -1.10498       0.106889       2.71176        37.8681        
2.51           -1.10619       0.117974       2.63533        36.0494        
2.515          -1.09428       0.0761825      2.36298        29.7068        
2.52           -1.09545       0.104277       2.68077        36.4578        
2.525          -1.09199       0.107058       2.38333        27.7955        
2.53           -1.08959       0.108407       2.614          33.7544        
2.535          -1.0801        0.0958259      2.3035         29.1535        
2.54           -1.08276       0.1191         2.22383        26.9817        
2.545          -1.07445       0.0791831      2.23598        24.018         
2.55           -1.07255       0.0952603      2.23766        29.7038        
2.555          -1.06575       0.089133       2.27864        25.8084        
2.56           -1.06097       0.0771562      2.4071         28.4095        
2.565          -1.0628        0.081766       2.17667        26.667         
2.57           -1.0527        0.0992185      2.42228        30.0205        
2.575          -1.04959       0.0736979      2.25575        23.1035        
2.58           -1.04749       0.0921148      2.29014        27.0726        
