L = 40
T           <E>         <|M|>       Cv          ChiAbs      
2              -1.74821       0.912822       0.706419       0.339146       
2.005          -1.74022       0.908248       0.808869       0.460254       
2.01           -1.73713       0.907481       0.782102       0.394518       
2.015          -1.73571       0.907437       0.70269        0.361334       
2.02           -1.73157       0.905232       0.725462       0.378432       
2.025          -1.7288        0.904389       0.760343       0.407277       
2.03           -1.72304       0.901005       0.768719       0.4515         
2.035          -1.71799       0.897723       0.819814       0.55766        
2.04           -1.71838       0.899287       0.794374       0.450427       
2.045          -1.70849       0.892664       0.897248       0.640822       
2.05           -1.707         0.892067       0.878169       0.629874       
2.055          -1.70197       0.890258       0.830092       0.562293       
2.06           -1.69528       0.885648       0.909429       0.797454       
2.065          -1.69308       0.885278       0.899464       0.673595       
2.07           -1.68674       0.880557       0.959271       1.14122        
2.075          -1.68555       0.882523       0.909692       0.676564       
2.08           -1.67984       0.877915       0.919372       0.850957       
2.085          -1.67721       0.877375       0.883394       0.699445       
2.09           -1.67638       0.878978       0.880731       0.639428       
2.095          -1.66601       0.868692       1.06304        1.20084        
2.1            -1.66328       0.869487       1.00872        0.960644       
2.105          -1.65979       0.867945       0.934701       0.835167       
2.11           -1.65348       0.865378       0.934744       0.772244       
2.115          -1.65143       0.864155       0.968518       0.831436       
2.12           -1.64351       0.857168       0.970382       1.16026        
2.125          -1.63045       0.83711        1.32347        4.47302        
2.13           -1.63352       0.852146       1.08882        1.31258        
2.135          -1.62863       0.849817       1.00429        1.12745        
2.14           -1.61657       0.840795       1.15092        1.44326        
2.145          -1.6138        0.833808       1.24236        2.6405         
2.15           -1.60597       0.83046        1.18582        1.82166        
2.155          -1.60542       0.834998       1.26104        1.55607        
2.16           -1.59648       0.825935       1.19321        1.72744        
2.165          -1.59136       0.821783       1.23114        2.2165         
2.17           -1.58659       0.817111       1.30673        2.81558        
2.175          -1.58265       0.819304       1.19922        1.80221        
2.18           -1.56982       0.802599       1.3172         2.70577        
2.185          -1.56392       0.802298       1.30134        2.78509        
2.19           -1.55711       0.794341       1.35762        3.0968         
2.195          -1.55749       0.799524       1.21037        2.35141        
2.2            -1.55207       0.793102       1.37137        3.17581        
2.205          -1.54752       0.791922       1.34787        2.50974        
2.21           -1.53723       0.782168       1.34709        3.28031        
2.215          -1.53269       0.780465       1.40225        3.43421        
2.22           -1.50116       0.710308       1.91996        15.712         
2.225          -1.509         0.752233       1.45532        4.21098        
2.23           -1.46913       0.614926       2.10676        45.5901        
2.235          -1.49847       0.74319        1.612          4.9377         
2.24           -1.48477       0.723478       1.62519        7.64663        
2.245          -1.47945       0.728426       1.72014        5.80262        
2.25           -1.47208       0.700195       1.83553        13.6465        
2.255          -1.46204       0.683546       1.89588        16.8075        
